1 1 192.5
1 5 320.75
1 9 530.25
1 13 682.25
1 17 935.25
1 21 1186.75
1 25 1427
1 29 1657.75
1 33 1945.25
1 37 2182.75
1 41 2424
1 45 2704
1 49 3089
1 53 3540
1 57 3647.5
1 61 3728.5
1 65 4473
1 69 4320
9 1 196.5
9 5 375.75
9 9 573
9 13 797.25
9 17 1045
9 21 1289
9 25 1537.75
9 29 1835
9 33 2062
9 37 2524.5
9 41 2638.25
9 45 2993.5
9 49 3304.75
9 53 4019.5
9 57 3846
9 61 4252.5
9 65 4472.5
9 69 4688.5
17 1 201
17 5 391.5
17 9 655.75
17 13 854.75
17 17 1117.25
17 21 1506.5
17 25 1684.5
17 29 1997.75
17 33 2290
17 37 2600
17 41 2860.5
17 45 3397
17 49 3505
17 53 4176
17 57 4092
17 61 4540.5
17 65 4739
17 69 5029.5
25 1 233.5
25 5 402.75
25 9 731.75
25 13 971.75
25 17 1191.25
25 21 1555
25 25 1896.75
25 29 2141.5
25 33 2608.5
25 37 2796.25
25 41 3257
25 45 3568.5
25 49 3745.25
25 53 4470.5
25 57 4479
25 61 4725.5
25 65 5116.5
25 69 5455.5
33 1 218.75
33 5 417
33 9 770.75
33 13 967
33 17 1340.75
33 21 1737.25
33 25 2009
33 29 2340
33 33 2789.5
33 37 2923.25
33 41 3554.75
33 45 3801.75
33 49 4072.25
33 53 4796.5
33 57 4823.5
33 61 5133.5
33 65 5336
33 69 5900.5
41 1 245
41 5 486.75
41 9 775.75
41 13 1141.5
41 17 1460.5
41 21 1899
41 25 2159.75
41 29 2583.75
41 33 2925.5
41 37 3210.75
41 41 3937
41 45 4028.5
41 49 4086.75
41 53 4983.5
41 57 4962
41 61 5513
41 65 5865.5
41 69 6294
49 1 224.25
49 5 559.75
49 9 878.75
49 13 1192.75
49 17 1548.75
49 21 1908
49 25 2276.25
49 29 2796
49 33 3058
49 37 3332.5
49 41 4033.5
49 45 4169.75
49 49 4431
49 53 5165.5
49 57 5345
49 61 5950.5
49 65 6086.5
49 69 6752.5
57 1 270
57 5 692.75
57 9 914.75
57 13 1338.25
57 17 1726.5
57 21 2063.5
57 25 2435.5
57 29 2905
57 33 3153
57 37 3838.5
57 41 4188.25
57 45 4275.75
57 49 4647.25
57 53 5338
57 57 6021
57 61 6078.5
57 65 6719
57 69 7123
65 1 270.75
65 5 693.25
65 9 1036.5
65 13 1486.75
65 17 1816.5
65 21 2160.5
65 25 2593.5
65 29 3060
65 33 3333.5
65 37 4218.25
65 41 4355
65 45 4573
65 49 5463
65 53 5655.5
65 57 6208
65 61 6738
65 65 7522
65 69 7756
73 1 244.25
73 5 646
73 9 1117.75
73 13 1514.75
73 17 2033.25
73 21 2248.25
73 25 2915.5
73 29 3184
73 33 3531.5
73 37 4251.75
73 41 4499.5
73 45 4798.75
73 49 5416.5
73 53 6377
73 57 6520
73 61 6916
73 65 8000.5
73 69 8200.5
81 1 258.5
81 5 631.5
81 9 1176
81 13 1665.75
81 17 2117.5
81 21 2432.5
