0 0
1 52
2 104
3 156
4 208
5 260
6 312
7 364
8 416
9 468
10 520
11 572
12 624
13 676
14 728
15 780
16 832
17 884
18 936
19 988
20 1040
21 1092
22 1144
23 1196
24 1248
25 1300
26 1352
27 1404
28 1456
29 1508
30 1560
31 1612
32 1664
33 1716
34 1768
35 1820
36 1872
37 1924
38 1976
39 2028
40 2080
41 2132
42 2184
43 2236
44 2288
45 2340
46 2392
47 2444
48 2496
49 2548
50 2600
51 2652
52 2704
53 2756
54 2808
55 2860
56 2912
57 2964
58 3016
59 3068
60 3120
61 3172
62 3224
63 3276
64 3328
65 3380
66 3432
67 3484
68 3536
69 3588
70 3640
71 3692
72 3744
73 3796
74 3848
75 3900
76 3952
77 4004
78 4056
79 4108
80 4160
81 4212
82 4264
83 4316
84 4368
85 4420
86 4472
87 4524
88 4576
89 4628
90 4680
91 4732
92 4784
93 4836
94 4888
95 4940
96 4992
97 5044
98 5096
99 5148
100 5200
101 5252
102 5304
103 5356
104 5408
105 5460
106 5512
107 5564
108 5616
109 5668
110 5720
111 5772
112 5824
113 5876
114 5928
115 5980
116 6032
117 6084
118 6136
119 6188
120 6240
121 6292
122 6344
123 6396
124 6448
125 6500
126 6552
127 6604
