0 3
1 133
2 50
3 37
4 41
5 44
6 23
7 25
8 31
9 33
10 40
11 43
12 64
13 68
14 58
15 66
16 74
17 75
18 81
19 96
20 103
21 108
22 138
23 148
24 180
25 136
26 151
27 156
28 166
29 182
30 212
31 214
32 216
33 236
34 234
35 330
36 359
37 353
38 303
39 317
40 337
41 331
42 354
43 378
44 395
45 334
46 411
47 403
48 480
49 514
50 534
51 578
52 497
53 569
54 611
55 620
56 637
57 667
58 655
59 705
60 720
61 788
62 784
63 810
64 684
65 880
66 925
67 946
68 918
69 749
70 920
71 1053
72 849
73 1126
74 1127
75 1145
76 1191
77 1243
78 1209
79 1306
80 1303
81 1292
82 1420
83 1422
84 1436
85 1463
86 1288
87 1475
88 1615
89 1147
90 1646
91 1660
92 1737
93 1720
94 1208
95 1827
96 1421
97 1852
98 1496
99 1936
100 1719
101 1947
102 2150
103 1599
104 2018
105 2232
106 1742
107 1842
108 2191
109 2265
110 2495
111 2260
112 2357
113 2633
114 2349
115 2120
116 2070
117 2226
118 2232
119 2198
120 2496
121 2214
122 2310
123 2386
124 2793
125 3000
126 2664
127 2331
