1 1 166
1 5 299.5
1 9 606.5
1 13 736
1 17 919
1 21 1197.5
1 25 1446.5
1 29 1766.5
1 33 2038.5
1 37 2169
1 41 2663.5
1 45 2798.5
1 49 3212
1 53 3381.5
1 57 3581.5
1 61 3726.5
1 65 4172
1 69 4618.5
1 73 4763.5
1 77 5017
1 81 5488
1 85 5737.5
1 89 6281
1 93 6763
1 97 6861.5
1 101 7324.5
1 105 7662.5
1 109 8227.5
1 113 8895.5
1 117 9284.5
1 121 9658
1 125 9707.5
1 129 10419
1 133 10833
1 137 11459
1 141 11852.5
1 145 12397
1 149 12737.5
1 153 13367.5
1 157 14083.5
1 161 14668.5
1 165 15258
1 169 15640.5
1 173 16378
9 1 185.5
9 5 272.5
9 9 622
9 13 935
9 17 1135
9 21 1339.5
9 25 1600.5
9 29 1899.5
9 33 2114
9 37 2355
9 41 2759.5
9 45 3087
9 49 3252.5
9 53 3667.5
9 57 3888
9 61 4127
9 65 4603
9 69 4858
9 73 5155.5
9 77 5687.5
9 81 5992.5
9 85 6233.5
9 89 6687
9 93 7085
9 97 7556
9 101 7774.5
9 105 8279.5
9 109 8840
9 113 9407.5
9 117 9661
9 121 10232.5
9 125 10800
9 129 11269.5
9 133 11881
9 137 12133.5
9 141 12663.5
9 145 13264.5
9 149 14119
9 153 14373
9 157 14980.5
9 161 15636.5
9 165 16307
9 169 17103
9 173 17751.5
17 1 183.5
17 5 364
17 9 640
17 13 1035
17 17 1284.5
17 21 1475
17 25 1858
17 29 2024
17 33 2212.5
17 37 2738.5
17 41 2893.5
17 45 3109
17 49 3418
17 53 3999
17 57 4163.5
17 61 4576
17 65 4995.5
17 69 5143.5
17 73 5558
17 77 5921
17 81 6395
17 85 6820
17 89 7078.5
17 93 7580.5
17 97 8337
17 101 8481.5
17 105 9020.5
17 109 9632.5
17 113 9713
17 117 10134.5
17 121 10976.5
17 125 11169
17 129 11944
17 133 12776.5
17 137 13002.5
17 141 13572
17 145 14145
17 149 14713
17 153 15386
17 157 16017
17 161 16648.5
17 165 17337
17 169 17967.5
17 173 18815.5
25 1 192
25 5 391
25 9 726.5
25 13 1019.5
25 17 1248
25 21 1569
25 25 2028
25 29 2172.5
25 33 2342
25 37 3134.5
25 41 3191.5
25 45 3506.5
25 49 4067
25 53 4232
25 57 4371.5
25 61 4963
25 65 5344.5
25 69 5555.5
25 73 5968
25 77 6484
25 81 6920.5
25 85 7373.5
25 89 7392.5
25 93 8193
25 97 9051.5
25 101 9278.5
25 105 9471.5
25 109 9895.5
25 113 10747
25 117 11051.5
25 121 11605.5
25 125 12162.5
25 129 12548.5
25 133 13114.5
25 137 13699
25 141 14392
25 145 15067
25 149 15814.5
25 153 15727.5
25 157 17162
25 161 17615
25 165 18511.5
25 169 18759.5
25 173 19723
33 1 211.5
33 5 429
33 9 695
33 13 1052
33 17 1479
33 21 1640
33 25 2312
33 29 2259
33 33 2867
33 37 3134.5
33 41 3386.5
33 45 3581.5
33 49 4256.5
33 53 4428.5
33 57 4802.5
33 61 5114
33 65 5514.5
33 69 5862.5
33 73 6390
33 77 6933
33 81 7354.5
33 85 7811
