0 2
1 21
2 15
3 17
4 16
5 13
6 12
7 13
8 14
9 15
10 16
11 16
12 17
13 20
14 21
15 23
16 26
17 26
18 25
19 25
20 28
21 28
22 31
23 30
24 32
25 30
26 30
27 31
28 39
29 34
30 34
31 34
32 38
33 41
34 45
35 42
36 44
37 44
38 40
39 42
40 35
41 37
42 36
43 39
44 37
45 36
46 36
47 37
48 36
49 38
50 40
51 39
52 40
53 41
54 43
55 43
56 43
57 44
58 44
59 45
60 47
61 47
62 55
63 56
64 56
65 57
66 57
67 59
68 60
69 64
70 79
71 77
72 73
73 54
74 65
75 66
76 67
77 68
78 72
79 61
80 64
81 69
82 62
83 62
84 62
85 67
86 62
87 62
88 63
89 64
90 64
91 65
92 68
93 70
94 68
95 69
96 68
97 77
98 76
99 76
100 77
101 77
102 76
103 80
104 78
105 83
106 82
107 80
108 81
109 84
110 81
111 85
112 86
113 86
114 88
115 87
116 89
117 88
118 89
119 92
120 96
121 90
122 91
123 98
124 94
125 92
126 97
127 97
